Bill,assembly_number,category1,category2,category3,category4,category5
HF 2643,88,500,600,300,1000,400
SF 2373,88,1615,322,1706,1616,1227
HF 2556,88,1400,2008,1407,1499,1404
SF 2284,88,601,600,322,1205,300
SF 2418,88,,,,,
HF 2641,88,,,,,
SF 458,88,,,,,
HF 2627,88,,,,,
HF 2642,88,,,,,
SF 2419,88,,,,,
SF 2338,88,,,,,
SF 2417,88,,,,,
HF 2647,88,,,,,
SF 2398,88,,,,,
SF 2415,88,,,,,
SSB 3202,88,,,,,
SSB 3203,88,,,,,
SSB 3204,88,,,,,
HF 594,88,,,,,
HSB 540,88,,,,,
HF 599,88,,,,,
HF 2644,88,,,,,
HF 2540,88,,,,,
HSB 710,88,,,,,
HF 2192,88,,,,,
HF 2588,88,,,,,
SF 2416,88,,,,,
SF 2261,88,,,,,
SF 2339,88,,,,,
HF 2486,88,,,,,
HF 2481,88,,,,,
HF 2626,88,,,,,
HF 2639,88,,,,,
SF 2413,88,,,,,
SF 2364,88,,,,,
HF 2629,88,,,,,
HSB 712,88,,,,,
SF 2414,88,,,,,
HF 2531,88,,,,,
HF 2633,88,,,,,
HF 2636,88,,,,,
HF 2635,88,,,,,
HF 2638,88,,,,,
HF 2637,88,,,,,
HSB 711,88,,,,,
HF 2630,88,,,,,
HF 2572,88,,,,,
SF 2410,88,,,,,
SF 2097,88,,,,,
HF 2634,88,,,,,
